cell_id	poi_count_total	poi_amenity_count	poi_shop_count	poi_tourism_count	poi_leisure_count	poi_office_count	poi_public_transport_count	poi_log1p_total
2_17	26	10	2	13	1	0	0	3.295836866004329
2_18	17	10	0	7	0	0	0	2.8903717578961645
2_19	0	0	0	0	0	0	0	0.0
2_20	0	0	0	0	0	0	0	0.0
2_21	0	0	0	0	0	0	0	0.0
2_22	1	1	0	0	0	0	0	0.6931471805599453
2_23	0	0	0	0	0	0	0	0.0
2_24	0	0	0	0	0	0	0	0.0
2_25	0	0	0	0	0	0	0	0.0
2_26	0	0	0	0	0	0	0	0.0
2_27	0	0	0	0	0	0	0	0.0
2_28	0	0	0	0	0	0	0	0.0
2_29	0	0	0	0	0	0	0	0.0
2_30	0	0	0	0	0	0	0	0.0
2_31	0	0	0	0	0	0	0	0.0
2_32	0	0	0	0	0	0	0	0.0
2_33	0	0	0	0	0	0	0	0.0
2_34	0	0	0	0	0	0	0	0.0
2_35	0	0	0	0	0	0	0	0.0
2_36	0	0	0	0	0	0	0	0.0
2_37	2	2	0	0	0	0	0	1.0986122886681098
2_38	1	0	0	1	0	0	0	0.6931471805599453
2_39	0	0	0	0	0	0	0	0.0
2_40	0	0	0	0	0	0	0	0.0
2_41	0	0	0	0	0	0	0	0.0
2_42	0	0	0	0	0	0	0	0.0
2_43	0	0	0	0	0	0	0	0.0
2_44	0	0	0	0	0	0	0	0.0
2_45	0	0	0	0	0	0	0	0.0
2_46	0	0	0	0	0	0	0	0.0
2_47	0	0	0	0	0	0	0	0.0
2_48	0	0	0	0	0	0	0	0.0
2_49	2	2	0	0	0	0	0	1.0986122886681098
2_50	0	0	0	0	0	0	0	0.0
2_51	0	0	0	0	0	0	0	0.0
2_52	0	0	0	0	0	0	0	0.0
2_53	1	1	0	0	0	0	0	0.6931471805599453
2_54	3	3	0	0	0	0	0	1.3862943611198906
2_55	0	0	0	0	0	0	0	0.0
2_56	0	0	0	0	0	0	0	0.0
2_57	0	0	0	0	0	0	0	0.0
2_58	126	64	27	19	13	0	3	4.844187086458591
2_59	11	7	0	3	0	1	0	2.4849066497880004
2_60	0	0	0	0	0	0	0	0.0
2_61	0	0	0	0	0	0	0	0.0
2_62	0	0	0	0	0	0	0	0.0
2_63	0	0	0	0	0	0	0	0.0
2_64	0	0	0	0	0	0	0	0.0
2_65	0	0	0	0	0	0	0	0.0
2_66	0	0	0	0	0	0	0	0.0
2_67	0	0	0	0	0	0	0	0.0
2_68	0	0	0	0	0	0	0	0.0
2_69	0	0	0	0	0	0	0	0.0
2_70	0	0	0	0	0	0	0	0.0
2_71	0	0	0	0	0	0	0	0.0
2_72	0	0	0	0	0	0	0	0.0
2_73	0	0	0	0	0	0	0	0.0
2_74	4	0	0	4	0	0	0	1.6094379124341003
2_75	5	1	0	3	0	0	1	1.791759469228055
2_76	0	0	0	0	0	0	0	0.0
2_77	0	0	0	0	0	0	0	0.0
2_78	4	1	0	3	0	0	0	1.6094379124341003
2_79	1	1	0	0	0	0	0	0.6931471805599453
2_80	12	1	0	8	0	0	3	2.5649493574615367
2_81	0	0	0	0	0	0	0	0.0
2_82	2	0	0	2	0	0	0	1.0986122886681098
2_83	0	0	0	0	0	0	0	0.0
2_84	1	1	0	0	0	0	0	0.6931471805599453
2_85	0	0	0	0	0	0	0	0.0
2_86	0	0	0	0	0	0	0	0.0
2_87	0	0	0	0	0	0	0	0.0
2_88	0	0	0	0	0	0	0	0.0
2_89	0	0	0	0	0	0	0	0.0
2_90	0	0	0	0	0	0	0	0.0
2_91	0	0	0	0	0	0	0	0.0
2_92	18	12	1	0	5	0	0	2.9444389791664403
2_93	15	9	4	0	2	0	0	2.772588722239781
2_94	26	13	2	0	11	0	0	3.295836866004329
2_95	39	27	4	2	0	1	5	3.6888794541139363
2_96	135	80	21	3	9	2	20	4.912654885736052
2_97	808	414	108	178	40	11	57	6.695798917058491
2_98	120	75	1	3	34	1	6	4.795790545596741
2_99	6	4	1	0	1	0	0	1.9459101490553132
2_100	0	0	0	0	0	0	0	0.0
3_1	0	0	0	0	0	0	0	0.0
3_2	0	0	0	0	0	0	0	0.0
3_3	0	0	0	0	0	0	0	0.0
3_4	0	0	0	0	0	0	0	0.0
3_5	49	35	1	11	0	1	1	3.912023005428146
3_6	100	80	2	12	3	1	2	4.61512051684126
3_7	33	30	0	1	1	0	1	3.5263605246161616
3_8	45	17	1	10	16	1	0	3.828641396489095
3_9	11	8	0	0	0	3	0	2.4849066497880004
3_10	106	86	6	8	5	1	0	4.672828834461906
3_11	35	24	0	5	5	1	0	3.58351893845611
3_12	6	6	0	0	0	0	0	1.9459101490553132
3_13	18	15	0	0	1	1	1	2.9444389791664403
3_14	0	0	0	0	0	0	0	0.0
3_15	0	0	0	0	0	0	0	0.0
3_16	0	0	0	0	0	0	0	0.0
3_17	16	12	0	0	3	0	1	2.833213344056216
3_18	55	27	2	22	3	0	1	4.02535169073515
3_19	4	4	0	0	0	0	0	1.6094379124341003
3_20	0	0	0	0	0	0	0	0.0
3_21	0	0	0	0	0	0	0	0.0
3_22	0	0	0	0	0	0	0	0.0
3_23	0	0	0	0	0	0	0	0.0
3_24	4	3	0	1	0	0	0	1.6094379124341003
3_25	0	0	0	0	0	0	0	0.0
3_26	0	0	0	0	0	0	0	0.0
3_27	0	0	0	0	0	0	0	0.0
3_28	0	0	0	0	0	0	0	0.0
3_29	0	0	0	0	0	0	0	0.0
3_30	0	0	0	0	0	0	0	0.0
3_31	0	0	0	0	0	0	0	0.0
3_32	0	0	0	0	0	0	0	0.0
3_33	0	0	0	0	0	0	0	0.0
3_34	0	0	0	0	0	0	0	0.0
3_35	1	0	0	1	0	0	0	0.6931471805599453
3_36	1	1	0	0	0	0	0	0.6931471805599453
3_37	2	1	0	1	0	0	0	1.0986122886681098
3_38	1	1	0	0	0	0	0	0.6931471805599453
3_39	6	5	0	1	0	0	0	1.9459101490553132
3_40	7	6	0	1	0	0	0	2.0794415416798357
3_41	2	2	0	0	0	0	0	1.0986122886681098
3_42	6	5	0	1	0	0	0	1.9459101490553132
3_43	2	2	0	0	0	0	0	1.0986122886681098
3_44	166	78	16	64	6	0	2	5.117993812416755
3_45	0	0	0	0	0	0	0	0.0
3_46	0	0	0	0	0	0	0	0.0
3_47	2	2	0	0	0	0	0	1.0986122886681098
3_48	0	0	0	0	0	0	0	0.0
3_49	0	0	0	0	0	0	0	0.0
3_50	0	0	0	0	0	0	0	0.0
3_51	0	0	0	0	0	0	0	0.0
3_52	0	0	0	0	0	0	0	0.0
3_53	1	0	0	0	1	0	0	0.6931471805599453
3_54	0	0	0	0	0	0	0	0.0
3_55	5	4	0	0	1	0	0	1.791759469228055
3_56	11	6	0	1	2	1	1	2.4849066497880004
3_57	12	9	0	1	1	0	1	2.5649493574615367
3_58	3	3	0	0	0	0	0	1.3862943611198906
3_59	0	0	0	0	0	0	0	0.0
3_60	1	0	0	0	1	0	0	0.6931471805599453
3_61	0	0	0	0	0	0	0	0.0
3_62	0	0	0	0	0	0	0	0.0
3_63	0	0	0	0	0	0	0	0.0
3_64	0	0	0	0	0	0	0	0.0
3_65	0	0	0	0	0	0	0	0.0
3_66	0	0	0	0	0	0	0	0.0
3_67	0	0	0	0	0	0	0	0.0
3_68	0	0	0	0	0	0	0	0.0
3_69	0	0	0	0	0	0	0	0.0
3_70	0	0	0	0	0	0	0	0.0
3_71	0	0	0	0	0	0	0	0.0
3_72	0	0	0	0	0	0	0	0.0
3_73	2	2	0	0	0	0	0	1.0986122886681098
